id;posicao;colecao_nome;volume;variacao;preco;vendas;donosUnicos;listagem;dia;colecao_id
496;62;Invisible Friends;18;-76;1.19;16;77;4;02/05/23;82
497;63;Cool Cats NFT;18;34;0.80;21;56;3;02/05/23;2
488;64;Lazarus Pit;17;0;85.00;13;99;8;02/05/23;187
495;65;Rumble Kong League;17;521;0.32;52;30;2;02/05/23;190
489;66;Keungz Genesis;16;10;16.50;1;67;0.69;02/05/23;130
494;67;Swamp Souls;15;86;0.37;34;77;4;02/05/23;189
490;68;Hedz by Matt Furie;14;31;2.69;5;34;7;02/05/23;83
493;69;Murakami.Flowers Official;14;138;0.50;25;55;3;02/05/23;153
491;70;KILLABEARS;14;-71;2.63;5;32;5;02/05/23;26
492;71;Metroverse Genesis;13;46543;0.03;24;24;3;02/05/23;188
554;72;SHIBERA - On zKSync Era;13;0;0.01;3776;60;2;02/05/23;196
582;73;Forgotten Runes Wizards Cult;13;18;0.87;15;32;2;02/05/23;101
580;74;Damien Hirst - The Currency;12;-24;2.15;5;81;3;02/05/23;116
581;75;BEEPLE - THE 5000 DAYS COLLECTION;12;0;23.00;1;85;3;02/05/23;208
576;76;Banners NFT;12;0;0.25;43;38;3;02/05/23;206
579;77;Ordinal Kubz;11;-37;0.26;43;15;1;02/05/23;127
577;78;Flyfish Club;11;585;1.92;5;44;0.89;02/05/23;207
578;79;Gemesis;11;-63;0.04;234;50;4;02/05/23;3
555;80;Genesis Box;11;-81;0.11;110;22;0.84;02/05/23;197
575;81;Wolf Game - Genesis Land;10;77;0.08;9;18;1;02/05/23;205
573;82;ArcheWorld_Land(POLYGON);10;1;210.00;35;19;10;02/05/23;138
574;83;Last Remains Characters;10;762;30.90;561;45;0;02/05/23;204
569;84;League of Kingdoms Drago [Matic];9;-15;105.00;111;17;3;02/05/23;125
572;85;Notable Pepes;9;20;0.01;31;4;0;02/05/23;113
570;86;MAX PAIN AND FRENS BY XCOPY;9;32;0.48;21;59;1;02/05/23;202
571;87;Foundation (FND);9;0;0.02;3;16;0.54;02/05/23;203
556;88;Wassies by Wassies;9;56;0.31;29;21;1;02/05/23;198
568;89;Kubz;9;-44;0.90;10;25;0.94;02/05/23;122
566;90;KillaCubs;9;-14;0.23;39;10;2;02/05/23;135
567;91;Lens Protocol Profiles;9;-5;0.11;86;96;1;02/05/23;166
557;92;BEEPLE: EVERYDAYS - THE 2020 COLLECTION;9;0;11.70;1;38;2;02/05/23;128
565;93;META KONGZ OFFICIAL;8;-36;0.80;11;27;0.99;02/05/23;176
563;94;Pixelmon Trainers - Generation 1;8;182;0.31;24;13;2;02/05/23;99
564;95;YuliOriginGenOne;45;66;0.90;14;35;0.99;02/05/23;201
558;96;Trump Digital Trading Cards Series 2;8;-34;84.83;173;15;10;02/05/23;107
562;97;JPEG Cards;8;0;0.16;1;43;2;02/05/23;200
559;98;Valhalla;8;-61;0.52;13;33;4;02/05/23;15
560;99;CryptoPunks V1 (wrapped);8;-64;4.20;2;25;2;02/05/23;35
561;100;Tribe Diamonds;8;0;8.50;2;60;4;02/05/23;199
